  nu       n         k        t       tcal
       1826.3434       1.3642417    0.0054595345       1.0530403       1.0530403
       1826.5845       1.3624796    0.0054555116       1.0530427       1.0530428
       1826.8256       1.3615907    0.0054276821       1.0530937       1.0530937
       1827.0667       1.3610092    0.0053957416       1.0531543       1.0531543
       1827.3078       1.3605756    0.0054003971       1.0531494       1.0531495
       1827.5489       1.3602109    0.0054106741       1.0531349       1.0531349
       1827.7900       1.3599043    0.0053826053       1.0531907       1.0531907
       1828.0311       1.3596548    0.0053641549       1.0532295       1.0532295
       1828.2722       1.3594210    0.0053897066       1.0531882       1.0531883
       1828.5133       1.3592016    0.0053567396       1.0532537       1.0532537
       1828.7544       1.3590247    0.0053186986       1.0533289       1.0533289
       1828.9955       1.3588604    0.0053286466       1.0533168       1.0533168
       1829.2366       1.3587048    0.0052960458       1.0533823       1.0533823
       1829.4777       1.3585761    0.0052769245       1.0534235       1.0534235
       1829.7188       1.3584430    0.0053016788       1.0533847       1.0533847
       1829.9599       1.3583044    0.0052851367       1.0534211       1.0534211
       1830.2010       1.3581694    0.0052832465       1.0534308       1.0534308
       1830.4421       1.3580265    0.0052600081       1.0534793       1.0534793
       1830.6832       1.3579226    0.0051532396       1.0536806       1.0536807
       1830.9243       1.3578693    0.0051120103       1.0537631       1.0537632
       1831.1654       1.3577947    0.0051517549       1.0536976       1.0536977
       1831.4065       1.3577060    0.0051169287       1.0537680       1.0537680
       1831.6476       1.3576301    0.0051127748       1.0537825       1.0537826
       1831.8887       1.3575294    0.0051283802       1.0537607       1.0537607
       1832.1298       1.3574452    0.0050324452       1.0539427       1.0539427
       1832.3709       1.3574270    0.0049609288       1.0540810       1.0540811
       1832.6120       1.3574096    0.0050103604       1.0539985       1.0539986
       1832.8531       1.3573369    0.0050726626       1.0538917       1.0538918
       1833.0942       1.3572471    0.0050577694       1.0539257       1.0539257
       1833.3353       1.3571605    0.0050575098       1.0539330       1.0539330
       1833.5764       1.3570810    0.0050041699       1.0540373       1.0540374
       1833.8175       1.3570517    0.0049233218       1.0541927       1.0541927
       1834.0586       1.3570258    0.0049673396       1.0541199       1.0541199
       1834.2997       1.3569658    0.0049725869       1.0541174       1.0541175
       1834.5408       1.3569190    0.0049473961       1.0541708       1.0541709
       1834.7819       1.3568515    0.0050083341       1.0540665       1.0540665
       1835.0230       1.3567483    0.0049880248       1.0541102       1.0541102
       1835.2641       1.3566807    0.0048923397       1.0542922       1.0542923
       1835.5052       1.3566534    0.0048434249       1.0543893       1.0543894
       1835.7463       1.3566298    0.0048210841       1.0544379       1.0544379
       1835.9874       1.3566069    0.0047987528       1.0544864       1.0544865
       1836.2285       1.3565806    0.0047989496       1.0544937       1.0544938
       1836.4696       1.3565448    0.0047950935       1.0545083       1.0545083
       1836.7107       1.3565111    0.0047793182       1.0545447       1.0545448
       1836.9518       1.3564725    0.0047873739       1.0545374       1.0545375
       1837.1929       1.3564260    0.0047728277       1.0545714       1.0545715
       1837.4340       1.3563837    0.0047516873       1.0546176       1.0546176
       1837.6751       1.3563544    0.0047160724       1.0546904       1.0546905
       1837.9162       1.3563333    0.0047096838       1.0547098       1.0547099
       1838.1573       1.3562950    0.0047243631       1.0546904       1.0546905
       1838.3984       1.3562522    0.0046952803       1.0547511       1.0547512
       1838.6395       1.3562210    0.0046768913       1.0547924       1.0547925
       1838.8806       1.3561834    0.0046743500       1.0548046       1.0548046
       1839.1217       1.3561450    0.0046426650       1.0548701       1.0548702
       1839.3628       1.3561170    0.0046176894       1.0549236       1.0549236
       1839.6039       1.3560760    0.0046190976       1.0549284       1.0549285
       1839.8450       1.3560390    0.0045516917       1.0550596       1.0550597
       1840.0861       1.3560431    0.0044846271       1.0551908       1.0551909
       1840.3272       1.3560634    0.0044812386       1.0552054       1.0552054
       1840.5683       1.3560463    0.0045357832       1.0551131       1.0551131
       1840.8094       1.3560001    0.0045212753       1.0551471       1.0551471
       1841.0505       1.3559795    0.0044659574       1.0552564       1.0552565
       1841.2916       1.3559736    0.0044623609       1.0552710       1.0552710
       1841.5327       1.3559589    0.0044547269       1.0552929       1.0552929
       1841.7738       1.3559384    0.0044510151       1.0553074       1.0553075
       1842.0149       1.3559217    0.0044235313       1.0553658       1.0553658
       1842.2560       1.3559208    0.0044027897       1.0554119       1.0554120
       1842.4972       1.3559152    0.0044216751       1.0553852       1.0553852
       1842.7383       1.3558936    0.0044311744       1.0553755       1.0553755
       1842.9794       1.3558616    0.0044379437       1.0553706       1.0553707
       1843.2205       1.3558326    0.0044116969       1.0554265       1.0554266
       1843.4616       1.3558264    0.0043816732       1.0554897       1.0554897
       1843.7027       1.3558155    0.0044123913       1.0554411       1.0554411
       1843.9438       1.3557777    0.0044283555       1.0554192       1.0554193
       1844.1849       1.3557339    0.0044152075       1.0554508       1.0554509
       1844.4260       1.3556924    0.0043954767       1.0554946       1.0554946
       1844.6671       1.3556593    0.0043520479       1.0555821       1.0555821
       1844.9082       1.3556494    0.0042982528       1.0556890       1.0556891
       1845.1493       1.3556530    0.0042789031       1.0557328       1.0557328
       1845.3904       1.3556471    0.0042806004       1.0557376       1.0557377
       1845.6315       1.3556282    0.0042755928       1.0557546       1.0557547
       1845.8726       1.3556098    0.0042494746       1.0558106       1.0558106
       1846.1137       1.3556079    0.0042129402       1.0558859       1.0558860
       1846.3548       1.3556131    0.0042107724       1.0558981       1.0558981
       1846.5959       1.3556089    0.0042177620       1.0558932       1.0558933
       1846.8370       1.3555864    0.0042377893       1.0558640       1.0558641
       1847.0781       1.3555584    0.0042142483       1.0559151       1.0559151
       1847.3192       1.3555489    0.0041855866       1.0559759       1.0559759
       1847.5603       1.3555358    0.0041990911       1.0559589       1.0559589
       1847.8014       1.3555055    0.0041913610       1.0559807       1.0559808
       1848.0425       1.3554926    0.0041389574       1.0560853       1.0560854
       1848.2836       1.3555028    0.0041276079       1.0561145       1.0561145
       1848.5247       1.3554764    0.0041897554       1.0560075       1.0560075
       1848.7658       1.3554157    0.0041620162       1.0560659       1.0560659
       1849.0069       1.3553898    0.0040726461       1.0562385       1.0562386
       1849.2480       1.3554013    0.0040204851       1.0563431       1.0563431
       1849.4891       1.3554253    0.0039895103       1.0564088       1.0564088
       1849.7302       1.3554419    0.0039993042       1.0563990       1.0563991
       1849.9713       1.3554429    0.0040010679       1.0564039       1.0564040
       1850.2124       1.3554375    0.0040001451       1.0564136       1.0564137
       1850.4535       1.3554336    0.0039860702       1.0564477       1.0564477
       1850.6946       1.3554327    0.0039825516       1.0564623       1.0564623
       1850.9357       1.3554275    0.0039829458       1.0564696       1.0564696
       1851.1768       1.3554245    0.0039728298       1.0564963       1.0564964
       1851.4179       1.3554160    0.0039902988       1.0564720       1.0564721
       1851.6590       1.3553888    0.0039997183       1.0564623       1.0564623
       1851.9001       1.3553565    0.0039762108       1.0565134       1.0565134
       1852.1412       1.3553564    0.0039056255       1.0566521       1.0566521
       1852.3823       1.3553785    0.0039062438       1.0566593       1.0566594
       1852.6234       1.3553804    0.0039316763       1.0566204       1.0566205
       1852.8645       1.3553607    0.0039490397       1.0565961       1.0565961
       1853.1056       1.3553235    0.0039557400       1.0565912       1.0565913
       1853.3467       1.3552974    0.0039007583       1.0567007       1.0567008
       1853.5878       1.3552947    0.0038709466       1.0567640       1.0567640
       1853.8289       1.3552990    0.0038451404       1.0568199       1.0568200
       1854.0700       1.3553087    0.0038325197       1.0568516       1.0568516
       1854.3111       1.3553151    0.0038382642       1.0568491       1.0568492
       1854.5522       1.3552973    0.0038700775       1.0567980       1.0567981
       1854.7933       1.3552687    0.0038453266       1.0568516       1.0568516
       1855.0344       1.3552528    0.0038206844       1.0569051       1.0569052
       1855.2755       1.3552366    0.0038026086       1.0569465       1.0569465
       1855.5166       1.3552443    0.0037348484       1.0570804       1.0570804
       1855.7577       1.3552615    0.0037524945       1.0570560       1.0570561
       1855.9988       1.3552605    0.0037503026       1.0570682       1.0570682
       1856.2399       1.3552493    0.0037663966       1.0570463       1.0570463
       1856.4810       1.3552019    0.0037913771       1.0570073       1.0570074
       1856.7221       1.3551669    0.0036892036       1.0572045       1.0572045
       1856.9632       1.3551929    0.0036072266       1.0573652       1.0573652
       1857.2043       1.3552332    0.0035975160       1.0573920       1.0573920
       1857.4454       1.3552668    0.0035890628       1.0574163       1.0574163
       1857.6865       1.3552883    0.0036211552       1.0573652       1.0573652
       1857.9276       1.3552728    0.0036647371       1.0572921       1.0572922
       1858.1687       1.3552463    0.0036361283       1.0573530       1.0573530
       1858.4098       1.3552565    0.0035802993       1.0574650       1.0574650
       1858.6509       1.3552792    0.0035979665       1.0574406       1.0574407
       1858.8920       1.3552690    0.0036350153       1.0573798       1.0573798
       1859.1331       1.3552473    0.0036143199       1.0574260       1.0574261
       1859.3743       1.3552419    0.0035898295       1.0574796       1.0574797
       1859.6154       1.3552409    0.0035824061       1.0575015       1.0575016
       1859.8565       1.3552357    0.0035736406       1.0575259       1.0575259
       1860.0976       1.3552281    0.0035609281       1.0575575       1.0575576
       1860.3387       1.3552231    0.0035351472       1.0576135       1.0576136
       1860.5798       1.3552396    0.0034886017       1.0577085       1.0577086
       1860.8209       1.3552692    0.0034932150       1.0577085       1.0577086
       1861.0620       1.3552700    0.0035368534       1.0576355       1.0576355
       1861.3031       1.3552601    0.0035175875       1.0576793       1.0576793
       1861.5442       1.3552556    0.0035284597       1.0576671       1.0576672
       1861.7853       1.3552337    0.0035378806       1.0576574       1.0576574
       1862.0264       1.3552142    0.0035002310       1.0577353       1.0577354
       1862.2675       1.3552163    0.0034627628       1.0578132       1.0578133
       1862.5086       1.3552313    0.0034410985       1.0578620       1.0578620
       1862.7497       1.3552485    0.0034390664       1.0578741       1.0578742
       1862.9908       1.3552466    0.0034682543       1.0578279       1.0578279
       1863.2319       1.3552244    0.0034645959       1.0578425       1.0578425
       1863.4730       1.3552171    0.0034192351       1.0579350       1.0579351
       1863.7141       1.3552255    0.0034053714       1.0579691       1.0579692
       1863.9552       1.3552317    0.0033954116       1.0579959       1.0579960
       1864.1963       1.3552319    0.0033932442       1.0580081       1.0580082
       1864.4374       1.3552300    0.0033740787       1.0580520       1.0580520
       1864.6785       1.3552504    0.0033341990       1.0581348       1.0581349
       1864.9196       1.3552557    0.0033882280       1.0580422       1.0580423
       1865.1607       1.3552315    0.0033701961       1.0580836       1.0580837
       1865.4018       1.3552381    0.0033093309       1.0582055       1.0582055
       1865.6429       1.3552552    0.0033203559       1.0581933       1.0581933
       1865.8840       1.3552638    0.0032999856       1.0582396       1.0582396
       1866.1251       1.3552854    0.0032862476       1.0582737       1.0582737
       1866.3662       1.3552987    0.0033141990       1.0582298       1.0582299
       1866.6073       1.3552886    0.0033315204       1.0582055       1.0582055
       1866.8484       1.3552803    0.0033084126       1.0582566       1.0582567
       1867.0895       1.3552887    0.0032919623       1.0582956       1.0582957
       1867.3306       1.3552982    0.0033003014       1.0582883       1.0582884
       1867.5717       1.3552868    0.0033254232       1.0582493       1.0582494
       1867.8128       1.3552768    0.0032892736       1.0583249       1.0583249
       1868.0539       1.3552867    0.0032780554       1.0583541       1.0583542
       1868.2950       1.3552886    0.0032928438       1.0583346       1.0583347
       1868.5361       1.3552845    0.0032854258       1.0583565       1.0583566
       1868.7772       1.3552723    0.0033013992       1.0583346       1.0583347
       1869.0183       1.3552572    0.0032756538       1.0583907       1.0583907
       1869.2594       1.3552490    0.0032642966       1.0584199       1.0584200
       1869.5005       1.3552452    0.0032334387       1.0584857       1.0584858
       1869.7416       1.3552554    0.0032053010       1.0585466       1.0585467
       1869.9827       1.3552786    0.0031876892       1.0585881       1.0585881
       1870.2238       1.3552860    0.0032272446       1.0585223       1.0585223
       1870.4649       1.3552633    0.0032366118       1.0585125       1.0585126
       1870.7060       1.3552550    0.0031888149       1.0586100       1.0586101
       1870.9471       1.3552555    0.0031957602       1.0586051       1.0586052
       1871.1882       1.3552606    0.0031597944       1.0586807       1.0586808
       1871.4293       1.3552467    0.0032095651       1.0585954       1.0585954
       1871.6704       1.3552055    0.0031667393       1.0586831       1.0586832
       1871.9115       1.3552161    0.0030553841       1.0589001       1.0589002
       1872.1526       1.3552677    0.0030315198       1.0589538       1.0589538
       1872.3937       1.3553090    0.0030452921       1.0589367       1.0589367
       1872.6348       1.3553139    0.0030977834       1.0588465       1.0588465
       1872.8759       1.3552957    0.0030863776       1.0588757       1.0588758
       1873.1170       1.3552929    0.0030529930       1.0589465       1.0589465
       1873.3581       1.3553083    0.0030236567       1.0590099       1.0590099
       1873.5992       1.3553334    0.0030138943       1.0590367       1.0590367
       1873.8403       1.3553420    0.0030416889       1.0589928       1.0589928
       1874.0814       1.3553427    0.0030226413       1.0590367       1.0590367
       1874.3225       1.3553455    0.0030282961       1.0590342       1.0590343
       1874.5636       1.3553423    0.0030131198       1.0590708       1.0590709
       1874.8047       1.3553679    0.0029605050       1.0591781       1.0591782
       1875.0458       1.3553951    0.0030079003       1.0590976       1.0590977
       1875.2869       1.3553749    0.0030497264       1.0590269       1.0590270
       1875.5280       1.3553490    0.0030110100       1.0591074       1.0591074
       1875.7691       1.3553539    0.0029647499       1.0592025       1.0592026
       1876.0103       1.3553744    0.0029458736       1.0592464       1.0592465
       1876.2514       1.3553981    0.0029348120       1.0592757       1.0592757
       1876.4925       1.3554171    0.0029483670       1.0592586       1.0592587
       1876.7336       1.3554115    0.0029772976       1.0592123       1.0592123
       1876.9747       1.3554024    0.0029452284       1.0592806       1.0592806
       1877.2158       1.3554141    0.0029198086       1.0593367       1.0593367
       1877.4569       1.3554348    0.0029074305       1.0593684       1.0593684
       1877.6980       1.3554573    0.0029080334       1.0593757       1.0593757
       1877.9391       1.3554682    0.0029305853       1.0593415       1.0593416
       1878.1802       1.3554767    0.0029220029       1.0593659       1.0593660
       1878.4213       1.3554902    0.0029406752       1.0593391       1.0593391
       1878.6624       1.3554737    0.0029941062       1.0592464       1.0592465
       1878.9035       1.3554367    0.0029812862       1.0592781       1.0592782
       1879.1446       1.3554238    0.0029310777       1.0593806       1.0593806
       1879.3857       1.3554281    0.0029120993       1.0594245       1.0594245
       1879.6268       1.3554483    0.0028699301       1.0595123       1.0595123
       1879.8679       1.3554711    0.0028938371       1.0594757       1.0594757
       1880.1090       1.3554606    0.0029252564       1.0594245       1.0594245
